0,[354, 302],[368, 301],[369, 318],[355, 319]
116,[340, 281],[362, 283],[361, 309],[340, 309]
117,[339, 280],[361, 281],[361, 307],[342, 306]
118,[339, 280],[362, 280],[361, 308],[341, 307]
119,[339, 278],[363, 279],[363, 304],[340, 304]
120,[339, 278],[360, 278],[361, 305],[341, 304]
121,[339, 278],[362, 279],[362, 305],[340, 305]
122,[338, 278],[361, 277],[362, 304],[340, 304]
123,[338, 277],[361, 277],[362, 306],[341, 306]
124,[339, 278],[361, 278],[362, 303],[341, 304]
125,[339, 276],[361, 276],[362, 307],[342, 307]
126,[338, 275],[361, 276],[363, 303],[340, 303]
127,[339, 275],[362, 276],[362, 304],[341, 304]
128,[338, 275],[361, 276],[361, 303],[340, 303]
129,[339, 276],[362, 276],[362, 303],[340, 302]
130,[339, 275],[363, 276],[364, 305],[340, 304]
131,[339, 276],[362, 275],[363, 303],[340, 302]
132,[339, 275],[362, 275],[362, 303],[341, 304]
133,[339, 274],[362, 274],[363, 303],[341, 302]
134,[339, 274],[360, 274],[362, 303],[339, 302]
135,[338, 274],[363, 274],[363, 301],[339, 301]
136,[338, 272],[363, 273],[364, 302],[341, 301]
137,[338, 273],[362, 273],[364, 301],[341, 301]
138,[339, 272],[364, 273],[364, 300],[340, 300]
139,[339, 272],[364, 273],[364, 301],[340, 300]
140,[338, 271],[364, 271],[365, 300],[339, 300]
141,[339, 271],[363, 271],[363, 300],[340, 299]
142,[338, 270],[363, 270],[364, 300],[341, 300]
143,[338, 270],[364, 270],[365, 300],[340, 299]
144,[337, 270],[363, 270],[365, 299],[340, 300]
145,[338, 269],[363, 270],[364, 299],[339, 298]
146,[338, 269],[364, 269],[364, 299],[340, 298]
147,[338, 269],[363, 268],[365, 299],[339, 299]
148,[337, 268],[364, 268],[365, 298],[338, 298]
149,[338, 268],[364, 268],[364, 298],[339, 298]
150,[338, 268],[364, 268],[365, 298],[338, 298]
151,[337, 267],[364, 267],[365, 298],[338, 298]
152,[336, 266],[364, 266],[365, 298],[338, 298]
153,[336, 266],[364, 266],[365, 297],[338, 298]
154,[337, 266],[363, 266],[365, 297],[338, 297]
155,[337, 265],[365, 266],[366, 297],[339, 296]
156,[337, 264],[364, 264],[364, 295],[339, 295]
157,[337, 264],[364, 264],[365, 295],[339, 295]
158,[337, 263],[364, 263],[366, 296],[339, 296]
159,[337, 263],[364, 263],[366, 296],[340, 296]
160,[338, 262],[364, 262],[365, 295],[338, 296]
161,[336, 262],[364, 263],[366, 295],[338, 295]
162,[336, 262],[365, 262],[365, 294],[338, 294]
163,[336, 261],[365, 262],[365, 294],[338, 294]
164,[336, 261],[366, 261],[366, 294],[338, 294]
165,[337, 261],[365, 262],[366, 294],[338, 294]
166,[337, 261],[365, 262],[366, 294],[337, 294]
167,[337, 260],[365, 260],[366, 294],[337, 293]
168,[336, 259],[365, 259],[367, 293],[338, 292]
169,[336, 259],[366, 259],[366, 293],[337, 293]
170,[337, 259],[366, 258],[366, 293],[338, 293]
171,[336, 258],[366, 258],[367, 292],[337, 292]
172,[336, 258],[366, 258],[368, 291],[338, 291]
173,[336, 258],[366, 257],[367, 292],[338, 292]
174,[336, 257],[366, 257],[368, 292],[338, 292]
175,[336, 257],[367, 256],[368, 291],[338, 290]
176,[336, 256],[367, 256],[368, 292],[338, 292]
177,[336, 256],[367, 255],[369, 291],[338, 291]
178,[336, 255],[367, 255],[368, 290],[339, 289]
179,[337, 255],[368, 255],[369, 289],[338, 289]
180,[338, 254],[369, 254],[370, 289],[340, 289]
181,[338, 254],[370, 253],[372, 291],[340, 291]
182,[340, 253],[370, 253],[371, 289],[341, 290]
183,[340, 253],[372, 252],[373, 290],[341, 290]
184,[340, 252],[373, 252],[375, 288],[342, 288]
185,[342, 252],[375, 252],[375, 288],[344, 289]
186,[343, 251],[375, 251],[377, 287],[345, 288]
187,[343, 250],[377, 249],[378, 288],[347, 287]
188,[345, 250],[377, 249],[380, 286],[348, 286]
189,[346, 249],[380, 250],[381, 286],[349, 284]
190,[347, 248],[381, 248],[382, 286],[349, 286]
191,[349, 247],[382, 246],[384, 286],[351, 285]
192,[351, 247],[384, 246],[387, 284],[353, 286]
193,[353, 247],[386, 247],[386, 285],[354, 286]
194,[354, 247],[388, 245],[389, 284],[356, 285]
195,[357, 247],[391, 245],[392, 286],[359, 285]
196,[358, 246],[394, 245],[396, 285],[360, 286]
197,[361, 245],[396, 245],[397, 285],[363, 286]
198,[363, 244],[398, 243],[400, 283],[366, 285]
199,[366, 243],[401, 242],[403, 283],[368, 284]
200,[369, 243],[404, 243],[407, 282],[372, 284]
201,[372, 243],[408, 242],[409, 281],[375, 284]
202,[374, 242],[411, 242],[411, 281],[376, 283]
203,[378, 241],[414, 240],[416, 281],[381, 282]
204,[380, 241],[417, 240],[420, 281],[384, 281]
205,[383, 241],[419, 240],[421, 278],[387, 280]
206,[387, 239],[424, 238],[426, 280],[390, 280]
207,[390, 239],[427, 237],[429, 279],[393, 280]
208,[394, 238],[432, 237],[433, 278],[398, 279]
209,[398, 237],[435, 236],[438, 279],[402, 279]
210,[402, 237],[438, 236],[441, 278],[405, 279]
211,[406, 236],[443, 235],[445, 278],[411, 278]
212,[410, 235],[447, 233],[450, 276],[413, 277]
213,[414, 234],[451, 233],[454, 276],[417, 277]
214,[417, 233],[455, 231],[458, 276],[421, 277]
215,[422, 232],[460, 231],[463, 275],[425, 276]
216,[427, 232],[464, 231],[467, 275],[429, 275]
217,[431, 232],[469, 229],[473, 273],[434, 276]
218,[434, 231],[474, 229],[478, 273],[438, 274]
219,[439, 230],[478, 228],[482, 273],[443, 274]
220,[443, 229],[483, 227],[486, 270],[447, 273]
221,[448, 228],[488, 227],[491, 270],[452, 272]
222,[453, 227],[493, 226],[496, 271],[457, 271]
223,[459, 226],[497, 225],[501, 270],[462, 270]
224,[462, 225],[503, 223],[506, 268],[466, 269]
225,[468, 225],[507, 222],[511, 267],[472, 268]
226,[473, 223],[514, 221],[517, 267],[477, 270]
227,[478, 222],[519, 221],[521, 265],[481, 266]
228,[483, 221],[524, 219],[527, 266],[487, 267]
229,[488, 220],[528, 218],[533, 264],[493, 265]
230,[494, 220],[536, 217],[538, 262],[498, 264]
231,[499, 219],[541, 216],[545, 262],[504, 263]
232,[505, 217],[547, 215],[552, 261],[510, 263]
233,[511, 216],[553, 213],[558, 259],[515, 262]
234,[518, 214],[559, 213],[564, 256],[522, 260]
235,[524, 213],[566, 212],[570, 257],[529, 260]
236,[531, 213],[574, 211],[577, 257],[537, 260]
237,[539, 212],[581, 209],[585, 257],[542, 259]
238,[544, 211],[588, 207],[593, 255],[550, 257]
239,[551, 209],[595, 206],[599, 254],[557, 255]
240,[559, 208],[601, 204],[606, 252],[565, 255]
241,[566, 206],[609, 203],[615, 252],[573, 256]
242,[574, 205],[618, 201],[623, 252],[581, 254]
243,[581, 203],[625, 200],[632, 251],[588, 253]
244,[589, 201],[633, 198],[641, 249],[597, 252]
245,[596, 200],[640, 196],[648, 247],[605, 249]
246,[605, 198],[649, 194],[656, 247],[613, 250]
247,[613, 197],[659, 194],[666, 244],[623, 249]
248,[623, 196],[668, 191],[675, 244],[630, 247]
249,[632, 193],[676, 191],[684, 242],[640, 245]
250,[640, 191],[685, 189],[692, 241],[650, 245]
251,[649, 191],[694, 187],[701, 241],[658, 244]
252,[658, 189],[703, 185],[712, 240],[668, 242]
253,[667, 188],[712, 184],[722, 238],[676, 242]
254,[676, 187],[721, 183],[730, 238],[687, 240]
255,[686, 185],[730, 181],[740, 236],[697, 239]
256,[695, 183],[739, 179],[748, 235],[705, 236]
257,[703, 181],[748, 176],[759, 232],[715, 234]
258,[715, 180],[758, 176],[769, 230],[726, 234]
259,[724, 178],[769, 174],[779, 229],[734, 233]
260,[734, 177],[778, 171],[791, 226],[744, 231]
261,[744, 174],[786, 168],[798, 226],[755, 230]
262
263
264
265
266
267
268
269
270
